ZIP,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,Unit Type,Unit Number,City,State,County,Zip,Country,Source,State Legislative District House,State Legislative District Senate,Congressional District,Congress,population
53142,42.518443,-87.982634,1,place,,,,,Kenosha,WI,Kenosha County,53142,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 61,State Senate District 21,WI1,117th,"33,447"
53186,43.022155,-88.204676,1,place,,,,,Waukesha,WI,Waukesha County,53186,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 98,State Senate District 33,WI5,117th,"33,065"
54729,44.958689,-91.319492,1,place,,,,,Chippewa Falls,WI,Chippewa County,54729,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 68,State Senate District 23,WI3,117th,"32,714"
54016,44.97469,-92.75687,1,place,,,,,Hudson,WI,St. Croix County,54016,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 30,State Senate District 10,WI7,117th,"31,972"
54302,44.495042,-87.978652,1,place,,,,,Green Bay,WI,Brown County,54302,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 90,State Senate District 30,WI8,117th,"31,633"
53151,42.973459,-88.127689,1,place,,,,,New Berlin,WI,Waukesha County,53151,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 84,State Senate District 28,WI5,117th,"31,515"
53719,43.045313,-89.515378,1,place,,,,,Madison,WI,Dane County,53719,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 78,State Senate District 26,WI2,117th,"31,487"
54914,44.280839,-88.452033,1,place,,,,,Appleton,WI,Outagamie County,54914,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 55,State Senate District 19,WI8,117th,"30,890"
54401,44.963304,-89.704051,1,place,,,,,Wausau,WI,Marathon County,54401,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 85,State Senate District 29,WI7,117th,"30,549"
53212,43.074862,-87.907178,1,place,,,,,Milwaukee,WI,Milwaukee County,53212,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 10,State Senate District 4,WI4,117th,"30,546"
53546,42.663574,-88.947859,1,place,,,,,Janesville,WI,Rock County,53546,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 31,State Senate District 11,WI1,117th,"30,185"
