ZIP,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,Unit Type,Unit Number,City,State,County,Zip,Country,Source,State Legislative District House,State Legislative District Senate,Congressional District,Congress
53004,43.499631,-87.918042,1,place,,,,,Belgium,WI,Ozaukee County,53004,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 60,State Senate District 20,WI6,117th
54135,44.88646,-88.575133,1,place,,,,,Keshena,WI,Menominee County,54135,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 36,State Senate District 12,WI8,117th
53013,43.590548,-87.85532,1,place,,,,,Cedar Grove,WI,Sheboygan County,53013,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 26,State Senate District 9,WI6,117th
53048,43.59138,-88.44371,1,place,,,,,Lomira,WI,Dodge County,53048,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 39,State Senate District 13,WI6,117th
53058,43.109127,-88.40248,1,place,,,,,Nashotah,WI,Waukesha County,53058,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 99,State Senate District 33,WI5,117th
53811,42.543893,-90.536322,1,place,,,,,Hazel Green,WI,Grant County,53811,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 49,State Senate District 17,WI3,117th
54738,44.5758,-91.47016,1,place,,,,,Eleva,WI,Trempealeau County,54738,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 92,State Senate District 31,WI3,117th
53075,43.582924,-88.000555,1,place,,,,,Random Lake,WI,Sheboygan County,53075,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 26,State Senate District 9,WI6,117th
54151,45.77135,-87.99485,1,place,,,,,Niagara,WI,Marinette County,54151,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 36,State Senate District 12,WI8,117th
53956,43.534002,-88.946714,1,place,,,,,Randolph,WI,Dodge County,53956,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 42,State Senate District 14,WI6,117th
54139,44.9511,-88.04677,1,place,,,,,Lena,WI,Oconto County,54139,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 36,State Senate District 12,WI8,117th
53952,43.78137,-89.57262,1,place,,,,,Oxford,WI,Marquette County,53952,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 41,State Senate District 14,WI3,117th
53941,43.5822,-90.12818,1,place,,,,,La Valle,WI,Sauk County,53941,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 50,State Senate District 17,WI2,117th
54984,44.168882,-89.223228,1,place,,,,,Wild Rose,WI,Waushara County,54984,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 40,State Senate District 14,WI6,117th
53573,43.1234,-90.488423,1,place,,,,,Muscoda,WI,Grant County,53573,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 49,State Senate District 17,WI3,117th
54005,45.25191,-92.2713,1,place,,,,,Clear Lake,WI,Polk County,54005,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 75,State Senate District 25,WI7,117th
54446,44.73691,-90.49597,1,place,,,,,Loyal,WI,Clark County,54446,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 69,State Senate District 23,WI7,117th
54405,44.94636,-90.31597,1,place,,,,,Abbotsford,WI,Marathon County,54405,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 69,State Senate District 23,WI7,117th
54437,44.77024,-90.59931,1,place,,,,,Greenwood,WI,Clark County,54437,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 68,State Senate District 23,WI7,117th
54129,44.146516,-88.195124,1,place,,,,,Hilbert,WI,Calumet County,54129,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 3,State Senate District 1,WI8,117th
54121,45.845525,-88.284254,1,place,,,,,Florence,WI,Florence County,54121,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 34,State Senate District 12,WI7,117th
54174,45.111843,-88.418694,1,place,,,,,Suring,WI,Oconto County,54174,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 36,State Senate District 12,WI8,117th
54871,45.73939,-91.92545,1,place,,,,,Shell Lake,WI,Washburn County,54871,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 75,State Senate District 25,WI7,117th
53036,43.147748,-88.588628,1,place,,,,,Ixonia,WI,Jefferson County,53036,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 37,State Senate District 13,WI5,117th
54732,45.125153,-91.170922,1,place,,,,,Cornell,WI,Chippewa County,54732,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 67,State Senate District 23,WI7,117th
54499,44.8272,-89.16956,1,place,,,,,Wittenberg,WI,Shawano County,54499,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 6,State Senate District 2,WI8,117th
53156,42.893937,-88.59712,1,place,,,,,Palmyra,WI,Jefferson County,53156,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 33,State Senate District 11,WI5,117th
54440,44.88747,-89.33873,1,place,,,,,Hatley,WI,Marathon County,54440,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 85,State Senate District 29,WI7,117th
54538,45.9696,-89.89948,1,place,,,,,Lac Du Flambeau,WI,Vilas County,54538,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 74,State Senate District 25,WI7,117th
53049,43.875302,-88.287108,1,place,,,,,Malone,WI,Fond Du Lac County,53049,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 52,State Senate District 18,WI6,117th
53183,43.003573,-88.376916,1,place,,,,,Wales,WI,Waukesha County,53183,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 99,State Senate District 33,WI1,117th
54873,46.417261,-91.810992,1,place,,,,,Solon Springs,WI,Douglas County,54873,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 73,State Senate District 25,WI7,117th
53114,42.60168,-88.7076,1,place,,,,,Darien,WI,Walworth County,53114,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 31,State Senate District 11,WI1,117th
54725,45.075804,-92.013036,1,place,,,,,Boyceville,WI,Dunn County,54725,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 67,State Senate District 23,WI3,117th
53191,42.57807,-88.54093,1,place,,,,,Williams Bay,WI,Walworth County,53191,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 31,State Senate District 11,WI1,117th
54830,45.972603,-92.292996,1,place,,,,,Danbury,WI,Burnett County,54830,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 73,State Senate District 25,WI7,117th
54161,45.117544,-87.977136,1,place,,,,,Pound,WI,Marinette County,54161,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 36,State Senate District 12,WI8,117th
54666,44.13107,-90.49985,1,place,,,,,Warrens,WI,Monroe County,54666,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 70,State Senate District 24,WI7,117th
54177,45.383307,-87.876231,1,place,,,,,Wausaukee,WI,Marinette County,54177,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 36,State Senate District 12,WI8,117th
54169,44.1736,-88.25983,1,place,,,,,Sherwood,WI,Calumet County,54169,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 3,State Senate District 1,WI8,117th
54950,44.67081,-88.88927,1,place,,,,,Marion,WI,Waupaca County,54950,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 40,State Senate District 14,WI8,117th
54228,44.23916,-87.64119,1,place,,,,,Mishicot,WI,Manitowoc County,54228,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 2,State Senate District 1,WI6,117th
53919 and 54466,44.408897,-90.190911,0.33,place,,,,,Pittsville,WI,Wood County,54466,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 70,State Senate District 24,WI7,117th
53178,43.018327,-88.600429,1,place,,,,,Sullivan,WI,Jefferson County,53178,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 33,State Senate District 11,WI5,117th
54968,43.832741,-89.122651,1,place,,,,,Princeton,WI,Green Lake County,54968,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 41,State Senate District 14,WI6,117th
54101,44.792284,-88.044067,1,place,,,,,Abrams,WI,Oconto County,54101,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 89,State Senate District 30,WI8,117th
54814,46.853517,-90.915934,1,place,,,,,Bayfield,WI,Bayfield County,54814,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 74,State Senate District 25,WI7,117th
53598,43.207783,-89.34178,1,place,,,,,Windsor,WI,Dane County,53598,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 79,State Senate District 27,WI2,117th
54639,43.600044,-90.636482,1,place,,,,,La Farge,WI,Vernon County,54639,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 96,State Senate District 32,WI3,117th
54872,45.782741,-92.385751,1,place,,,,,Siren,WI,Burnett County,54872,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 28,State Senate District 10,WI7,117th
54614,43.89302,-90.99041,1,place,,,,,Bangor,WI,La Crosse County,54614,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 94,State Senate District 32,WI3,117th
